AÑO,CULTIVO,RED DE RIEGO,DOBLE COSECHA,HAS
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,6
2026,ARBOLADO,R2,NO,"0,7"
2026,MAIZ,POR GRAVEDAD,NO,"7,9"
2026,MAIZ,R2,NO,"1,5"
2026,MAIZ,R2,NO,7
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"8,45"
2026,ARBOLADO,R1,NO,"2,33"
2026,ARBOLADO,R1,NO,1
2026,CEREAL DE INVIERNO,R1,NO,25
2026,CEREAL DE INVIERNO,R1,SI,3
2026,CEREAL DE INVIERNO,R1,NO,"14,63"
2026,CEREAL DE INVIERNO,R2,SI,17
2026,MAIZ,R2,NO,"2,8"
2026,MAIZ,R2,NO,2
2026,ALFALFA,R1,NO,10
2026,ALFALFA,R1,NO,3
2026,MAIZ,R1,NO,6
2026,GUISANTES,R1,SI,"2,6"
2026,GUISANTES,R2,NO,"2,7"
2026,MAIZ,R2,NO,"3,5"
2026,MAIZ,R2,NO,"5,7"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"1,4"
2026,MAIZ,POR GRAVEDAD,NO,"13,1"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,9
2026,MAIZ,R2,NO,"20,5"
2026,CEREAL DE INVIERNO,R2,SI,6
2026,CEREAL DE INVIERNO,R2,SI,"1,54"
2026,CEREAL DE INVIERNO,R2,SI,1
2026,CEREAL DE INVIERNO,R2,NO,"1,8"
2026,CEREAL DE INVIERNO,R2,NO,"1,1"
2026,MAIZ,R2,NO,"2,38"
2026,CEREAL DE INVIERNO,R2,NO,13
2026,MAIZ,R2,NO,8
2026,MAIZ,R2,NO,1
2026,MAIZ,R2,NO,4
2026,MAIZ,R2,NO,"4,2"
2026,MAIZ,R2,NO,2
2026,MAIZ,R1,NO,"2,1"
2026,MAIZ,R2,NO,2
2026,MAIZ,POR GRAVEDAD,NO,8
2026,CEREAL DE INVIERNO,R1,NO,13
2026,CEREAL DE INVIERNO,R2,NO,1
2026,CEREAL DE INVIERNO,R2,NO,3
2026,MAIZ,POR GRAVEDAD,NO,"4,6"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"7,5"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"9,36"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,SI,"13,56"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"3,8"
2026,MAIZ,R1,NO,"4,3"
2026,MAIZ,R1,NO,6
2026,MAIZ,R2,NO,6
2026,MAIZ,POR GRAVEDAD,NO,9
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,5
2026,MAIZ,POR GRAVEDAD,NO,"3,3"
2026,CEREAL DE INVIERNO,R2,NO,9
2026,CEREAL DE INVIERNO,R1,NO,"3,3"
2026,CEREAL DE INVIERNO,R1,NO,2
2026,CEREAL DE INVIERNO,R1,NO,"1,5"
2026,CEREAL DE INVIERNO,R1,NO,"2,5"
2026,CEREAL DE INVIERNO,R1,NO,3
2026,CEREAL DE INVIERNO,R2,NO,"3,5"
2026,CEREAL DE INVIERNO,R2,NO,"4,5"
2026,CEREAL DE INVIERNO,R2,NO,"1,5"
2026,CEREAL DE INVIERNO,R2,NO,2
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,7
2026,CEREAL DE INVIERNO,R2,NO,"2,5"
2026,CEREAL DE INVIERNO,R2,NO,"0,3"
2026,MAIZ,R2,NO,2
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"10,73"
2026,ALFALFA,R2,NO,5
2026,ALFALFA,R2,NO,"1,2"
2026,ALFALFA,R2,NO,"1,3"
2026,MAIZ,POR GRAVEDAD,NO,8
2026,ARBOLADO,POR GRAVEDAD,NO,5
2026,MAIZ,R2,NO,"2,5"
2026,MAIZ,R1,NO,3
2026,ALFALFA,R1,NO,"0,51"
2026,MAIZ,R2,NO,"2,14"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,7
2026,MAIZ,R2,NO,2
2026,ARBOLADO,R1,NO,"2,8"
2026,CEREAL DE INVIERNO,R2,NO,"0,9"
2026,CEREAL DE INVIERNO,R2,NO,"1,3"
2026,MAIZ,POR GRAVEDAD,NO,"1,68"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,9
2026,MAIZ,R2,NO,5
2026,CEREAL DE INVIERNO,R2,NO,"3,68"
2026,CEREAL DE INVIERNO,R1,NO,"9,5"
2026,MAIZ,R1,NO,"1,79"
2026,MAIZ,R1,NO,"9,5"
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,7
2026,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"12,5"
2026,MAIZ,R2,NO,"2,8"
2026,MAIZ,R2,NO,"1,6"
2026,MAIZ,R1,NO,6
2026,MAIZ,R1,NO,"2,2"
2026,MAIZ,R1,NO,2
2025,CEREAL DE INVIERNO,R2,NO,"12,6"
2025,CEREAL DE INVIERNO,R1,NO,"1,5"
2025,MAIZ,R2,NO,"4,8"
2025,CEREAL DE INVIERNO,R2,SI,6
2025,CEREAL DE INVIERNO,R2,NO,"4,5"
2025,MAIZ,R1,NO,"4,2"
2025,CEREAL DE INVIERNO,R1,NO,"1,15"
2025,CEREAL DE INVIERNO,R1,NO,"4,5"
2025,CEREAL DE INVIERNO,R2,NO,"2,25"
2025,CEREAL DE INVIERNO,R2,NO,"1,7"
2025,ALFALFA,R1,NO,"0,54"
2025,ALFALFA,R1,NO,"1,9"
2025,ALFALFA,R1,NO,"2,98"
2025,CEREAL DE INVIERNO,R1,NO,"2,6"
2025,GUISANTES,POR GRAVEDAD,SI,"2,7"
2025,MAIZ,POR GRAVEDAD,NO,"6,2"
2025,MAIZ,R2,NO,"2,5"
2025,ARBOLADO,R2,NO,"0,4"
2025,CEREAL DE INVIERNO,POR GRAVEDAD,SI,"4,9"
2025,CEREAL DE INVIERNO,R2,NO,"10,9"
2025,CEREAL DE INVIERNO,R2,NO,"1,76"
2025,MAIZ,R1,NO,"2,62"
2025,ALFALFA,POR GRAVEDAD,NO,"1,25"
2025,ALFALFA,R2,NO,2
2025,ALFALFA,R2,NO,"2,5"
2025,CEREAL DE INVIERNO,R2,NO,"6,69"
2025,CEREAL DE INVIERNO,R2,NO,"2,06"
2025,MAIZ,R2,NO,13
2025,MAIZ,POR GRAVEDAD,NO,"6,3"
2025,CEREAL DE INVIERNO,R1,SI,"5,5"
2025,CEREAL DE INVIERNO,R1,SI,"4,5"
2025,CEREAL DE INVIERNO,R1,SI,"1,1"
2025,CEREAL DE INVIERNO,R1,SI,3
2025,CEREAL DE INVIERNO,R1,SI,"2,5"
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,5
2025,MAIZ,POR GRAVEDAD,NO,10
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"2,7"
2025,MAIZ,R2,NO,13
2025,MAIZ,R1,NO,"2,5"
2025,MAIZ,R2,NO,"5,15"
2025,MAIZ,POR GRAVEDAD,NO,"8,44"
2025,OTROS,R2,NO,"1,87"
2025,MAIZ,R1,NO,"1,5"
2025,CEREAL DE INVIERNO,R2,NO,"2,7"
2025,CEREAL DE INVIERNO,R2,NO,2
2025,CEREAL DE INVIERNO,R2,NO,2
2025,CEREAL DE INVIERNO,R2,NO,"1,09"
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"1,45"
2025,MAIZ,POR GRAVEDAD,NO,"17,75"
2025,GUISANTES,R2,SI,"2,45"
2025,GIRASOL,POR GRAVEDAD,NO,18
2025,GIRASOL,R2,NO,"1,8"
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,9
2025,CEREAL DE INVIERNO,R1,NO,26
2025,CEREAL DE INVIERNO,R1,NO,"4,36"
2025,MAIZ,R2,NO,"2,5"
2025,CEREAL DE INVIERNO,R1,NO,"1,67"
2025,CEREAL DE INVIERNO,R1,NO,"2,87"
2025,CEREAL DE INVIERNO,R1,NO,1
2025,ALFALFA,POR GRAVEDAD,NO,20
2025,ALFALFA,POR GRAVEDAD,NO,"5,7"
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,17
2025,ALFALFA,POR GRAVEDAD,NO,7
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,2
2025,MAIZ,POR GRAVEDAD,NO,10
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,7
2025,ALFALFA,POR GRAVEDAD,NO,12
2025,MAIZ,POR GRAVEDAD,NO,20
2025,ALFALFA,POR GRAVEDAD,NO,"5,5"
2025,MAIZ,POR GRAVEDAD,NO,9
2025,CEREAL DE INVIERNO,R2,SI,"14,5"
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"11,94"
2025,GUISANTES,POR GRAVEDAD,NO,"2,4"
2025,MAIZ,POR GRAVEDAD,NO,"14,77"
2025,CEREAL DE INVIERNO,R1,SI,"6,5"
2025,OTROS,R2,NO,"1,5"
2025,OTROS,R2,NO,"1,5"
2025,GUISANTES,POR GRAVEDAD,SI,1
2025,GUISANTES,R2,SI,"3,4"
2025,MAIZ,POR GRAVEDAD,NO,10
2025,MAIZ,POR GRAVEDAD,NO,"15,8"
2025,MAIZ,POR GRAVEDAD,NO,"8,2"
2025,MAIZ,R1,NO,4
2025,MAIZ,R2,NO,"7,24"
2025,MAIZ,R2,NO,"4,21"
2025,MAIZ,R2,NO,"12,5"
2025,GUISANTES,R2,NO,"2,5"
2025,MAIZ,R1,NO,4
2025,MAIZ,R1,NO,2
2025,MAIZ,R2,NO,"2,3"
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,9
2025,MAIZ,POR GRAVEDAD,NO,"12,5"
2025,MAIZ,POR GRAVEDAD,NO,11
2025,CEREAL DE INVIERNO,R1,NO,"14,5"
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,9
2025,CEREAL DE INVIERNO,R2,NO,"1,5"
2025,MAIZ,R2,NO,"14,96"
2025,ARBOLADO,R2,NO,"0,28"
2025,CEREAL DE INVIERNO,R2,SI,"3,3"
2025,GUISANTES,R2,SI,"2,7"
2025,CEREAL DE INVIERNO,R2,NO,9
2025,MAIZ,R2,NO,9
2025,MAIZ,R2,NO,"3,8"
2025,CEREAL DE INVIERNO,R2,SI,"7,5"
2025,MAIZ,R2,NO,"2,4"
2025,MAIZ,R2,NO,10
2025,MAIZ,R2,NO,"5,9"
2025,ALFALFA,POR GRAVEDAD,NO,"13,9"
2025,OTROS,POR GRAVEDAD,NO,"0,7"
2025,ALFALFA,POR GRAVEDAD,NO,"11,9"
2025,ALFALFA,POR GRAVEDAD,NO,"1,9"
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"8,4"
2025,GUISANTES,POR GRAVEDAD,SI,3
2025,CEREAL DE INVIERNO,POR GRAVEDAD,SI,6
2025,CEREAL DE INVIERNO,R2,NO,"1,2"
2025,CEREAL DE INVIERNO,R2,NO,"1,3"
2025,MAIZ,POR GRAVEDAD,NO,6
2025,ARBOLADO,R2,NO,"0,7"
2025,MAIZ,POR GRAVEDAD,NO,"7,9"
2025,GUISANTES,R2,SI,"1,5"
2025,CEREAL DE INVIERNO,R2,SI,7
2025,MAIZ,POR GRAVEDAD,SI,"8,45"
2025,ARBOLADO,R1,NO,"2,33"
2025,ARBOLADO,R1,NO,1
2025,CEREAL DE INVIERNO,R1,NO,"28,5"
2025,ALFALFA,R1,NO,2
2025,CEREAL DE INVIERNO,R1,NO,"14,63"
2025,CEREAL DE INVIERNO,R2,SI,17
2025,MAIZ,R2,NO,"2,8"
2025,MAIZ,R2,NO,2
2025,ALFALFA,R1,NO,10
2025,ALFALFA,R1,NO,3
2025,MAIZ,R1,NO,6
2025,MAIZ,R1,NO,"2,6"
2025,MAIZ,R2,NO,"2,7"
2025,MAIZ,R2,NO,"3,5"
2025,GUISANTES,R2,SI,"5,7"
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"1,4"
2025,MAIZ,POR GRAVEDAD,NO,"13,1"
2025,MAIZ,POR GRAVEDAD,NO,9
2025,MAIZ,R2,NO,"20,5"
2025,CEREAL DE INVIERNO,R2,NO,6
2025,CEREAL DE INVIERNO,R2,NO,"1,54"
2025,CEREAL DE INVIERNO,R2,NO,1
2025,CEREAL DE INVIERNO,R2,NO,"1,8"
2025,CEREAL DE INVIERNO,R2,NO,"1,1"
2025,MAIZ,R2,NO,"2,38"
2025,CEREAL DE INVIERNO,R2,NO,13
2025,MAIZ,R2,NO,8
2025,GIRASOL,R2,NO,1
2025,MAIZ,R2,NO,4
2025,MAIZ,R2,NO,"4,2"
2025,GIRASOL,R2,NO,2
2025,GIRASOL,R1,NO,"2,1"
2025,MAIZ,R2,NO,2
2025,CEREAL DE INVIERNO,POR GRAVEDAD,SI,8
2025,CEREAL DE INVIERNO,R1,NO,13
2025,CEREAL DE INVIERNO,R2,NO,1
2025,CEREAL DE INVIERNO,R2,NO,3
2025,GUISANTES,POR GRAVEDAD,SI,"4,6"
2025,MAIZ,POR GRAVEDAD,NO,"7,5"
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"9,36"
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"13,56"
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"3,8"
2025,MAIZ,R1,NO,"4,3"
2025,MAIZ,R1,NO,6
2025,MAIZ,R2,NO,6
2025,MAIZ,POR GRAVEDAD,NO,9
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,5
2025,MAIZ,POR GRAVEDAD,NO,"3,3"
2025,CEREAL DE INVIERNO,R2,NO,9
2025,CEREAL DE INVIERNO,R1,NO,"3,3"
2025,CEREAL DE INVIERNO,R1,NO,2
2025,CEREAL DE INVIERNO,R1,NO,"1,5"
2025,CEREAL DE INVIERNO,R1,NO,"2,5"
2025,CEREAL DE INVIERNO,R1,NO,3
2025,CEREAL DE INVIERNO,R2,NO,"3,5"
2025,CEREAL DE INVIERNO,R2,NO,"4,5"
2025,CEREAL DE INVIERNO,R2,NO,"1,5"
2025,CEREAL DE INVIERNO,R2,NO,2
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,7
2025,CEREAL DE INVIERNO,R2,NO,"2,5"
2025,CEREAL DE INVIERNO,R2,NO,"0,3"
2025,MAIZ,R2,NO,2
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"10,73"
2025,ALFALFA,R2,NO,5
2025,ALFALFA,R2,NO,"1,2"
2025,ALFALFA,R2,NO,"1,3"
2025,MAIZ,POR GRAVEDAD,NO,8
2025,ARBOLADO,POR GRAVEDAD,NO,5
2025,MAIZ,R2,NO,"2,5"
2025,MAIZ,R1,NO,3
2025,ALFALFA,R1,NO,"0,51"
2025,CEREAL DE INVIERNO,R2,SI,"2,14"
2025,GUISANTES,POR GRAVEDAD,SI,7
2025,MAIZ,R2,NO,2
2025,OTROS,R1,NO,"2,8"
2025,CEREAL DE INVIERNO,R2,NO,"0,9"
2025,CEREAL DE INVIERNO,R2,NO,"1,3"
2025,MAIZ,POR GRAVEDAD,NO,"1,68"
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,9
2025,OTROS,R2,SI,5
2025,GUISANTES,R2,SI,"3,68"
2025,MAIZ,R1,NO,"9,5"
2025,MAIZ,R1,NO,"1,79"
2025,CEREAL DE INVIERNO,R1,NO,"9,5"
2025,MAIZ,POR GRAVEDAD,NO,7
2025,CEREAL DE INVIERNO,POR GRAVEDAD,NO,"12,5"
2025,MAIZ,R2,NO,"2,8"
2025,CEREAL DE INVIERNO,R2,NO,"1,6"
2025,CEREAL DE INVIERNO,R1,NO,6
2025,CEREAL DE INVIERNO,R1,NO,"2,2"
2025,CEREAL DE INVIERNO,R1,NO,2
